bigram	freq
ER	527043
R_	411663
CH	302442
_S	236655
N_	205817
SC	202208
AN	173723
_K	163248
_B	155258
EN	146838
LE	143356
E_	142070
MA	141456
_H	141426
EI	135579
EL	132909
IN	125358
HE	115137
T_	114831
L_	113331
NN	110718
BE	107805
_M	107686
NE	104363
_W	104006
GE	103040
IE	101348
KE	97829
TE	97491
H_	93237
ST	92004
S_	90965
_R	89099
_G	87582
RE	87520
HA	82484
ME	78828
DE	78305
LL	76059
SE	74973
_L	74233
RA	73677
AU	73640
AR	72928
CK	72488
K_	70475
NG	69899
RI	67963
G_	67850
_P	63227
_F	63086
Z_	62978
RT	62822
IC	59990
_D	55151
TZ	54646
LI	53465
OL	53361
HO	52162
LA	51973
WE	51078
BA	50106
ND	49224
AL	49204
TH	48643
RO	48219
IT	46902
ES	46821
IS	45599
HM	44565
HL	43725
OR	43225
WI	42371
TT	42254
US	41889
_T	41338
FE	39778
_E	39687
I_	39432
BR	39383
EC	39219
MI	38921
KA	38552
_A	38049
HN	37438
KI	37299
?L	37136
AC	37064
IL	36836
KO	36834
DT	36796
PE	36740
ID	36574
NS	36414
D_	35875
ZE	35730
NI	35604
WA	35178
NK	35075
RS	34838
ET	34773
RG	34223
_N	33995
R?	33987
EM	33475
AS	33082
KR	32766
H?	32553
A_	32517
HI	31284
HU	30929
_J	30443
HR	30291
UN	30097
LD	29287
F_	29033
EB	29007
GR	28944
SK	28126
M?	28010
RN	27827
AM	27714
IG	27100
RM	26717
KL	26507
MM	26372
AT	25533
EH	25398
?N	25174
_Z	24924
UL	24751
OS	24692
EU	24676
RU	24524
FF	24267
M_	24082
ED	24005
LO	23854
TR	23547
FR	23128
BO	22609
NZ	22355
?H	22261
UR	22241
PP	22045
ON	22033
OT	21977
UM	21810
SS	21723
DI	21688
IM	21120
UT	21007
EG	20645
?R	20573
SI	20420
OW	20374
TA	20366
_V	20250
OH	20229
UE	20120
LM	20046
BU	19838
LZ	19762
LT	19740
NT	19675
AH	19602
TI	19528
SA	19406
NA	19372
NB	19367
K?	19192
EY	19061
RD	19034
_O	18951
OF	18920
AG	18887
BI	18647
?T	18114
KU	17854
OC	17824
ZI	17785
_C	17762
EK	17392
IR	17293
DO	16871
TS	16857
DA	16818
YE	16547
