"data"	"variant"	"q"	"k"	"l"	"Tani"	"filesizea"	"filesizeb"	"realpositives"	"tp"	"fp"	"tn"	"fn"	"recall"	"precision"	"Fmeasure"	"RMSE"
"German Mortality"	"Standard CLK k = 5"	"2"	"5"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	NA
"German Mortality"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.95"	"14003"	"2466"	"896"	"753"	"0"	"143"	"34530502"	"0.840401785714286"	"1"	"0.920200892857143"	NA
"German Mortality"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.9"	"14003"	"2466"	"896"	"763"	"0"	"133"	"34530502"	"0.8515625"	"1"	"0.92578125"	NA
"German Mortality"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.85"	"14003"	"2466"	"896"	"788"	"1"	"108"	"34530501"	"0.879464285714286"	"0.99873257287706"	"0.939098429295673"	NA
"German Mortality"	"Standard CLK k = 5"	"2"	"5"	"500"	"0.8"	"14003"	"2466"	"896"	"816"	"1"	"80"	"34530501"	"0.910714285714286"	"0.998776009791922"	"0.954745147753104"	NA
"German Mortality"	"Standard CLK k = 10"	"2"	"10"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	NA
"German Mortality"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.95"	"14003"	"2466"	"896"	"755"	"0"	"141"	"34530502"	"0.842633928571429"	"1"	"0.921316964285714"	NA
"German Mortality"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.9"	"14003"	"2466"	"896"	"767"	"0"	"129"	"34530502"	"0.856026785714286"	"1"	"0.928013392857143"	NA
"German Mortality"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.85"	"14003"	"2466"	"896"	"795"	"0"	"101"	"34530502"	"0.887276785714286"	"1"	"0.943638392857143"	NA
"German Mortality"	"Standard CLK k = 10"	"2"	"10"	"500"	"0.8"	"14003"	"2466"	"896"	"826"	"2"	"70"	"34530500"	"0.921875"	"0.997584541062802"	"0.959729770531401"	NA
"German Mortality"	"Standard CLK k = 15"	"2"	"15"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	NA
"German Mortality"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.95"	"14003"	"2466"	"896"	"755"	"0"	"141"	"34530502"	"0.842633928571429"	"1"	"0.921316964285714"	NA
"German Mortality"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.9"	"14003"	"2466"	"896"	"775"	"0"	"121"	"34530502"	"0.864955357142857"	"1"	"0.932477678571429"	NA
"German Mortality"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.85"	"14003"	"2466"	"896"	"805"	"1"	"91"	"34530501"	"0.8984375"	"0.998759305210918"	"0.948598402605459"	NA
"German Mortality"	"Standard CLK k = 15"	"2"	"15"	"500"	"0.8"	"14003"	"2466"	"896"	"841"	"2"	"55"	"34530500"	"0.938616071428571"	"0.997627520759193"	"0.968121796093882"	NA
"German Mortality"	"Optimal Parameter choice (LM)"	"2"	"12"	"500"	"1"	"14003"	"2466"	"896"	"748"	"0"	"148"	"34530502"	"0.834821428571429"	"1"	"0.917410714285714"	"0.0253571013182969"
"German Mortality"	"Optimal Parameter choice (LM)"	"2"	"12"	"500"	"0.95"	"14003"	"2466"	"896"	"756"	"0"	"140"	"34530502"	"0.84375"	"1"	"0.921875"	"0.0253571013182969"
