"data";"k";"i";"fill";"elements";"quotient";"tp";"fp";"fn";"precision";"recall";"fscore"
"Synthetic";5;1;0.253472;80;0.01;843;0;157;1;0.843;0.9215
"Synthetic";5;2;0.254858;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;3;0.254992;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;4;0.253996;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;5;0.25513;80;0.01;851;0;149;1;0.851;0.9255
"Synthetic";5;6;0.254178;80;0.01;841;0;159;1;0.841;0.9205
"Synthetic";5;7;0.253766;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;8;0.254128;80;0.01;841;0;159;1;0.841;0.9205
"Synthetic";5;9;0.254498;80;0.01;850;0;150;1;0.85;0.925
"Synthetic";5;10;0.25411;80;0.01;844;0;156;1;0.844;0.922
"Synthetic";5;11;0.2537;80;0.01;850;0;150;1;0.85;0.925
"Synthetic";5;12;0.255908;80;0.01;851;0;149;1;0.851;0.9255
"Synthetic";5;13;0.254472;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;14;0.254414;80;0.01;845;0;155;1;0.845;0.9225
"Synthetic";5;15;0.254194;80;0.01;851;0;149;1;0.851;0.9255
"Synthetic";5;16;0.253714;80;0.01;849;0;151;1;0.849;0.9245
"Synthetic";5;17;0.253592;80;0.01;841;0;159;1;0.841;0.9205
"Synthetic";5;18;0.25511;80;0.01;842;0;158;1;0.842;0.921
"Synthetic";5;19;0.25541;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;20;0.253096;80;0.01;848;0;152;1;0.848;0.924
"Synthetic";5;21;0.25496;80;0.01;856;0;144;1;0.856;0.928
"Synthetic";5;22;0.254438;80;0.01;848;0;152;1;0.848;0.924
"Synthetic";5;23;0.253986;80;0.01;847;0;153;1;0.847;0.9235
"Synthetic";5;24;0.253728;80;0.01;853;0;147;1;0.853;0.9265
"Synthetic";5;25;0.252234;80;0.01;838;0;162;1;0.838;0.919
"Synthetic";5;26;0.253728;80;0.01;846;0;154;1;0.846;0.923
"Synthetic";5;27;0.2547;80;0.01;849;0;151;1;0.849;0.9245
