Variant	n	l	Threshold	time	memuse
mtan	50000	250	0.8	0.233716666666667	75.622024
mtan	50000	250	0.85	0.162449999999999	75.675416
mtan	50000	250	0.9	0.0836500000000001	75.675576
mtan	50000	250	0.95	0.0224166666666671	75.675736
utan	50000	250	0.8	0.116633333333333	75.675896
utan	50000	250	0.85	0.0975333333333339	75.676056
utan	50000	250	0.9	0.0737166666666667	75.676216
utan	50000	250	0.95	0.0302333333333337	75.676376
mtanp	50000	250	0.8	0.20795	75.676712
mtanp	50000	250	0.85	0.148583333333333	75.676848
mtanp	50000	250	0.9	0.0783166666666669	75.677008
mtanp	50000	250	0.95	0.0192500000000005	75.677168
utanp	50000	250	0.8	0.105233333333334	75.677328
utanp	50000	250	0.85	0.0932000000000007	75.677488
utanp	50000	250	0.9	0.061566666666666	75.677648
utanp	50000	250	0.95	0.0294999999999997	75.677808
mtan	50000	500	0.8	0.3734	90.24544
mtan	50000	500	0.85	0.291166666666665	90.245312
mtan	50000	500	0.9	0.179733333333333	90.245472
mtan	50000	500	0.95	0.0582500000000001	90.245632
utan	50000	500	0.8	0.195083333333334	90.245792
utan	50000	500	0.85	0.162966666666667	90.245952
utan	50000	500	0.9	0.129166666666667	90.246112
utan	50000	500	0.95	0.0684666666666658	90.246272
mtanp	50000	500	0.8	0.326466666666668	90.246496
mtanp	50000	500	0.85	0.256733333333333	90.246656
mtanp	50000	500	0.9	0.159316666666666	90.246816
mtanp	50000	500	0.95	0.0512	90.246976
utanp	50000	500	0.8	0.173449999999999	90.247112
utanp	50000	500	0.85	0.140483333333335	90.247272
utanp	50000	500	0.9	0.110299999999999	90.247432
utanp	50000	500	0.95	0.0572666666666673	90.247592
mtan	50000	1000	0.8	1.0158	119.852408
mtan	50000	1000	0.85	0.641216666666668	119.85228
mtan	50000	1000	0.9	0.320583333333332	119.85244
mtan	50000	1000	0.95	0.12515	119.8526
utan	50000	1000	0.8	0.342883333333335	119.852736
utan	50000	1000	0.85	0.30545	119.852896
utan	50000	1000	0.9	0.250966666666667	119.853032
utan	50000	1000	0.95	0.140000000000002	119.853192
mtanp	50000	1000	0.8	0.843483333333332	119.853416
mtanp	50000	1000	0.85	0.557933333333335	119.853576
mtanp	50000	1000	0.9	0.296316666666667	119.853736
mtanp	50000	1000	0.95	0.114050000000001	119.853896
utanp	50000	1000	0.8	0.311249999999999	119.854056
utanp	50000	1000	0.85	0.259649999999999	119.854216
utanp	50000	1000	0.9	0.198616666666669	119.854376
utanp	50000	1000	0.95	0.113349999999999	119.854536
mtan	1e+05	250	0.8	0.985083333333334	107.71304
mtan	1e+05	250	0.85	0.604933333333334	107.712936
mtan	1e+05	250	0.9	0.276199999999998	107.713096
mtan	1e+05	250	0.95	0.0597500000000006	107.713256
utan	1e+05	250	0.8	0.54985	107.713416
utan	1e+05	250	0.85	0.504733333333335	107.713552
utan	1e+05	250	0.9	0.397199999999998	107.713712
utan	1e+05	250	0.95	0.163950000000004	107.713872
