data	k	q	l	fill	elements	quotient	tp	fp	fn	precision	recall	fscore
Synthetic	1	2	256	0.10833984375	16	0.00390625	883	0	117	1	0.883	0.9415
Synthetic	2	2	256	0.20540234375	32	0.0078125	882	0	118	1	0.882	0.941
Synthetic	3	2	256	0.29106640625	48	0.01171875	887	0	113	1	0.887	0.9435
Synthetic	4	2	256	0.36626171875	64	0.015625	894	0	106	1	0.894	0.947
Synthetic	5	2	256	0.43369921875	80	0.01953125	897	0	103	1	0.897	0.9485
Synthetic	6	2	256	0.49496484375	96	0.0234375	908	0	92	1	0.908	0.954
Synthetic	7	2	256	0.5494453125	112	0.02734375	916	0	84	1	0.916	0.958
Synthetic	8	2	256	0.597703125	128	0.03125	921	0	79	1	0.921	0.9605
Synthetic	9	2	256	0.64126171875	144	0.03515625	934	0	66	1	0.934	0.967
Synthetic	10	2	256	0.67934765625	160	0.0390625	944	0	56	1	0.944	0.972
Synthetic	11	2	256	0.7132421875	176	0.04296875	952	0	48	1	0.952	0.976
Synthetic	12	2	256	0.744515625	192	0.046875	960	0	40	1	0.96	0.98
Synthetic	13	2	256	0.773140625	208	0.05078125	968	0	32	1	0.968	0.984
Synthetic	14	2	256	0.79806640625	224	0.0546875	982	0	18	1	0.982	0.991
Synthetic	15	2	256	0.81957421875	240	0.05859375	989	0	11	1	0.989	0.9945
Synthetic	16	2	256	0.8392890625	256	0.0625	993	0	7	1	0.993	0.9965
Synthetic	17	2	256	0.85758984375	272	0.06640625	995	72	5	0.932521087160262	0.995	0.963760543580131
Synthetic	18	2	256	0.8729765625	288	0.0703125	999	2117	1	0.320603337612324	0.999	0.659801668806162
Synthetic	19	2	256	0.88622265625	304	0.07421875	999	21192	1	0.0450182506421522	0.999	0.522009125321076
Synthetic	20	2	256	0.8986953125	320	0.078125	999	113448	1	0.00872893129570893	0.999	0.503864465647854
Synthetic	21	2	256	0.9098359375	336	0.08203125	1000	328980	0	0.0030304866961634	1	0.501515243348082
Synthetic	22	2	256	0.9199453125	352	0.0859375	1000	608184	0	0.00164154015863844	1	0.500820770079319
Synthetic	23	2	256	0.92921875	368	0.08984375	1000	829031	0	0.00120477427951486	1	0.500602387139757
Synthetic	24	2	256	0.93687890625	384	0.09375	1000	937848	0	0.00106513514434711	1	0.500532567572174
Synthetic	25	2	256	0.943640625	400	0.09765625	1000	983241	0	0.00101601132243018	1	0.500508005661215
Synthetic	26	2	256	0.94955078125	416	0.1015625	1000	995952	0	0.00100305731870742	1	0.500501528659354
Synthetic	27	2	256	0.95497265625	432	0.10546875	1000	998525	0	0.00100047522573222	1	0.500500237612866
Synthetic	28	2	256	0.96005078125	448	0.109375	1000	998964	0	0.00100003600129605	1	0.500500018000648
Synthetic	29	2	256	0.96421484375	464	0.11328125	1000	998992	0	0.001000008000064	1	0.500500004000032
Synthetic	30	2	256	0.96797265625	480	0.1171875	1000	999000	0	0.001	1	0.5005
FEBRL	1	2	256	0.0713328125	10.2139	0.00390625	8614	2	1386	0.999767873723305	0.8614	0.930583936861653
FEBRL	2	2	256	0.136901953125	20.4278	0.0078125	8700	4	1300	0.999540441176471	0.87	0.934770220588235
FEBRL	3	2	256	0.198646484375	30.6417	0.01171875	8756	4	1244	0.999543378995434	0.8756	0.937571689497717
FEBRL	4	2	256	0.25485078125	40.8556	0.015625	8879	2	1121	0.99977480013512	0.8879	0.94383740006756
FEBRL	5	2	256	0.307265234375	51.0695	0.01953125	8991	2	1009	0.999777604803736	0.8991	0.949438802401868
FEBRL	6	2	256	0.355731640625	61.2834	0.0234375	9121	4	879	0.999561643835616	0.9121	0.955830821917808
FEBRL	7	2	256	0.403119140625	71.4973	0.02734375	9230	4	770	0.999566818280269	0.923	0.961283409140134
FEBRL	8	2	256	0.4446921875	81.7112	0.03125	9324	9	676	0.999035679845709	0.9324	0.965717839922854
FEBRL	9	2	256	0.48465390625	91.9251	0.03515625	9384	14	616	0.998510321344967	0.9384	0.968455160672483
FEBRL	10	2	256	0.520380859375	102.139	0.0390625	9450	22	550	0.997677364864865	0.945	0.971338682432432
FEBRL	11	2	256	0.554704296875	112.3529	0.04296875	9526	27	474	0.997173662723752	0.9526	0.974886831361876
FEBRL	12	2	256	0.5869484375	122.5668	0.046875	9595	39	405	0.995951837243097	0.9595	0.977725918621549
FEBRL	13	2	256	0.615564453125	132.7807	0.05078125	9633	48	367	0.995041834521227	0.9633	0.979170917260614
FEBRL	14	2	256	0.64130390625	142.9946	0.0546875	9663	64	337	0.993420376272232	0.9663	0.979860188136116
FEBRL	15	2	256	0.665490625	153.2085	0.05859375	9709	83	291	0.991523692810457	0.9709	0.981211846405229
FEBRL	16	2	256	0.690562109375	163.4224	0.0625	9748	111	252	0.98874125164824	0.9748	0.98177062582412
FEBRL	17	2	256	0.7121640625	173.6363	0.06640625	9782	170	218	0.982918006430868	0.9782	0.980559003215434
FEBRL	18	2	256	0.731725	183.8502	0.0703125	9813	249	187	0.975253428741801	0.9813	0.9782767143709
FEBRL	19	2	256	0.751516015625	194.0641	0.07421875	9834	380	166	0.962796162130409	0.9834	0.973098081065205
FEBRL	20	2	256	0.768871484375	204.278	0.078125	9854	841	146	0.921365123889668	0.9854	0.953382561944834
FEBRL	21	2	256	0.783826953125	214.4919	0.08203125	9870	2252	130	0.814222075565088	0.987	0.900611037782544
FEBRL	22	2	256	0.800346875	224.7058	0.0859375	9894	9285	106	0.515876740184577	0.9894	0.752638370092288
FEBRL	23	2	256	0.814366796875	234.9197	0.08984375	9907	31311	93	0.240356155077879	0.9907	0.615528077538939
FEBRL	24	2	256	0.826987109375	245.1336	0.09375	9918	104201	82	0.0869092789106109	0.9918	0.539354639455305
FEBRL	25	2	256	0.839176953125	255.3475	0.09765625	9930	314539	70	0.0306038481334118	0.993	0.511801924066706
FEBRL	26	2	256	0.85009375	265.5614	0.1015625	9941	771165	59	0.012726825808533	0.9941	0.503413412904267
FEBRL	27	2	256	0.859759375	275.7753	0.10546875	9950	1790956	50	0.00552499686269022	0.995	0.500262498431345
FEBRL	28	2	256	0.87033828125	285.9892	0.109375	9963	4045568	37	0.00245664501146706	0.9963	0.499378322505733
FEBRL	29	2	256	0.8786875	296.2031	0.11328125	9971	7339847	29	0.00135663223225391	0.9971	0.499228316116127
FEBRL	30	2	256	0.886423046875	306.417	0.1171875	9976	12055553	24	0.000826818285381437	0.9976	0.499213409142691
TelCD	1	2	256	0.06974765625	10.0152	0.00390625	8261	0	1739	1	0.8261	0.91305
TelCD	2	2	256	0.134030078125	20.0304	0.0078125	8287	2	1713	0.999758716371094	0.8287	0.914229358185547
TelCD	3	2	256	0.194353125	30.0456	0.01171875	8321	0	1679	1	0.8321	0.91605
TelCD	4	2	256	0.24931875	40.0608	0.015625	8357	0	1643	1	0.8357	0.91785
TelCD	5	2	256	0.301828125	50.076	0.01953125	8385	0	1615	1	0.8385	0.91925
TelCD	6	2	256	0.34885703125	60.0912	0.0234375	8408	2	1592	0.999762187871581	0.8408	0.920281093935791
TelCD	7	2	256	0.395375390625	70.1064	0.02734375	8449	2	1551	0.999763341616377	0.8449	0.922331670808188
TelCD	8	2	256	0.4359546875	80.1216	0.03125	8480	2	1520	0.999764206555058	0.848	0.923882103277529
TelCD	9	2	256	0.47530625	90.1368	0.03515625	8516	2	1484	0.999765203099319	0.8516	0.92568260154966
TelCD	10	2	256	0.510999609375	100.152	0.0390625	8571	2	1429	0.999766709436603	0.8571	0.928433354718302
TelCD	11	2	256	0.545509765625	110.1672	0.04296875	8620	2	1380	0.999768035258641	0.862	0.93088401762932
TelCD	12	2	256	0.578148046875	120.1824	0.046875	8666	3	1334	0.999653939324028	0.8666	0.933126969662014
TelCD	13	2	256	0.60665703125	130.1976	0.05078125	8728	3	1272	0.999656396747223	0.8728	0.936228198373611
TelCD	14	2	256	0.631980078125	140.2128	0.0546875	8783	3	1217	0.999658547689506	0.8783	0.938979273844753
TelCD	15	2	256	0.6570140625	150.228	0.05859375	8860	7	1140	0.999210555994136	0.886	0.942605277997068
TelCD	16	2	256	0.68161171875	160.2432	0.0625	8905	9	1095	0.99899035225488	0.8905	0.94474517612744
TelCD	17	2	256	0.7034921875	170.2584	0.06640625	8970	11	1030	0.998775192072152	0.897	0.947887596036076
TelCD	18	2	256	0.7241609375	180.2736	0.0703125	9043	25	957	0.997243052492281	0.9043	0.95077152624614
TelCD	19	2	256	0.743337890625	190.2888	0.07421875	9119	76	881	0.99173463839043	0.9119	0.951817319195215
TelCD	20	2	256	0.7616140625	200.304	0.078125	9194	328	806	0.96555345515648	0.9194	0.94247672757824
TelCD	21	2	256	0.777350390625	210.3192	0.08203125	9265	1121	735	0.892066243019449	0.9265	0.909283121509725
TelCD	22	2	256	0.794651171875	220.3344	0.0859375	9350	7240	650	0.563592525617842	0.935	0.749296262808921
TelCD	23	2	256	0.808373046875	230.3496	0.08984375	9435	26245	565	0.264433856502242	0.9435	0.603966928251121
TelCD	24	2	256	0.82104453125	240.3648	0.09375	9499	85246	501	0.100258588843738	0.9499	0.525079294421869
TelCD	25	2	256	0.832790625	250.38	0.09765625	9571	255606	429	0.0360928738163566	0.9571	0.496596436908178
TelCD	26	2	256	0.84353203125	260.3952	0.1015625	9632	645732	368	0.0146971759205571	0.9632	0.488948587960279
TelCD	27	2	256	0.854044140625	270.4104	0.10546875	9688	1493236	312	0.00644610106698675	0.9688	0.487623050533493
TelCD	28	2	256	0.864741796875	280.4256	0.109375	9748	3362686	252	0.00289049392812432	0.9748	0.488845246964062
TelCD	29	2	256	0.873345703125	290.4408	0.11328125	9789	6053583	211	0.00161444819813134	0.9789	0.490257224099066
TelCD	30	2	256	0.880664453125	300.456	0.1171875	9832	9758627	168	0.00100650471072254	0.9832	0.492103252355361
